"id","name","castealias","castes__id","castes__name"
"","","","207","Kharwar"
"","","","208","Khatri"
"","","","209","Kirar"
"","","","210","Kokanastha Maratha"
"","","","211","Koli"
"","","","212","Koli Mahadev"
"","","","213","Koli Patel"
"","","","214","Kongu Vellala Gounder"
"","","","215","Konkani"
"","","","216","Korama"
"","","","217","Kori"
"","","","218","Kosthi"
"","","","219","Krishnavaka"
"","","","220","Kshatriya"
"","","","221","Kudumbi"
"","","","222","Kulal"
"","","","223","Kulalar"
"","","","224","Kulita"
"","","","225","Kumawat"
"","","","226","Kumbhakar"
"","","","227","Kumbhar"
"","","","228","Kumhar"
"","","","229","Kummari"
"","","","230","Kunbi"
"","","","231","Kuravan"
"","","","232","Kurmi"
"","","","233","Kurmi Kshatriya"
"","","","234","Kuruba"
"","","","235","Kuruhina Shetty"
"","","","236","Kurumbar"
"","","","237","Kushwaha (Koiri)"
"","","","238","Kutchi"
"","","","239","Lambadi"
"","","","240","Leva patel"
"","","","241","Leva patil"
"","","","242","Lingayath"
"","","","243","Lodhi Rajput"
"","","","244","Lohana"
"","","","245","Lohar"
"","","","246","Loniya"
"","","","247","Lubana"
"","","","248","Madiga"
"","","","249","Mahajan"
"","","","250","Mahar"
"","","","251","Mahendra"
"","","","252","Maheshwari"
"","","","253","Mahishya"
"","","","254","Majabi"
"","","","255","Mala"
"","","","256","Mali"
"","","","257","Malla"
"","","","258","Malviya Brahmin"
"","","","259","Mangalorean"
"","","","260","Manipuri"
"","","","261","Mapila"
"","","","262","Maratha"
"","","","263","Maruthuvar"
"","","","264","Matang"
"","","","265","Mathur"
"","","","266","Maurya / Shakya"
"","","","267","Meena"
"","","","268","Meenavar"
"","","","269","Mehra"
"","","","270","Meru Darji"
"","","","271","Mochi"
"","","","272","Modak"
"","","","273","Mogaveera"
"","","","274","Mudaliyar"
"","","","275","Mudiraj"
"","","","276","Mukkulathor"
"","","","277","Munnuru Kapu"
"","","","278","Muthuraja"
"","","","279","Naagavamsam"
"","","","280","Nadar"
"","","","281","Nagaralu"
"","","","282","Nai"
"","","","283","Naicker"
"","","","284","Naidu"
"","","","285","Naik"
"","","","286","Nair"
"","","","287","Nambiar"
"","","","288","Namosudra"
"","","","289","Napit"
"","","","290","Nayaka"
"","","","291","Neeli"
"","","","292","Nepali"
"","","","293","Nhavi"
"","","","294","Oswal"
"","","","295","Otari"
"","","","296","Padmasali"
"","","","297","Pal"
"","","","298","Panchal"
"","","","299","Pandaram"
"","","","300","Panicker"
"","","","301","Parkava Kulam"
"","","","302","Parsi"
"","","","303","Partraj"
"","","","304","Pasi"
"","","","305","Patel"
"","","","306","Pathare Prabhu"
"","","","307","Patnaick"
"","","","308","Patra"
"","","","309","Perika"
"","","","310","Pillai"
"","","","311","Poosala"
"","","","312","Porwal"
"","","","313","Prajapati"
"","","","314","Raigar"
"","","","315","Rajaka"
"","","","316","Rajastani"
"","","","317","Rajbhar"
"","","","318","Rajbonshi"
"","","","319","Rajpurohit"
"","","","320","Rajput"
"","","","321","Ramanandi"
"","","","322","Ramdasia"
"","","","323","Ramgariah"
"","","","324","Ramoshi"
"","","","325","Ravidasia"
"","","","326","Rawat"
"","","","327","Reddy"
"","","","328","Relli"
"","","","329","Ror"
"","","","330","SC"
"","","","331","SKP"
"","","","332","ST"
"","","","333","Sadgope"
"","","","334","Saha"
"","","","335","Sahu"
"","","","336","Saini"
"","","","337","Saliya"
"","","","338","Sathwara"
"","","","339","Savji"
"","","","340","Senai Thalaivar"
"","","","341","Senguntha Mudaliyar"
"","","","342","Settibalija"
"","","","343","Shimpi"
"","","","344","Sindhi"
"","","","345","Sindhi-Amil"
"","","","346","Sindhi-Baibhand"
"","","","347","Sindhi-Bhanusali"
"","","","348","Sindhi-Bhatia"
"","","","349","Sindhi-Chhapru"
"","","","350","Sindhi-Dadu"
"","","","351","Sindhi-Hyderabadi"
"","","","352","Sindhi-Larai"
"","","","353","Sindhi-Larkana"
"","","","354","Sindhi-Lohana"
"","","","355","Sindhi-Rohiri"
"","","","356","Sindhi-Sahiti"
"","","","357","Sindhi-Sakkhar"
"","","","358","Sindhi-Sehwani"
"","","","359","Sindhi-Shikarpuri"
"","","","360","Sindhi-Thatai"
"","","","361","Sonar"
"","","","362","Soni"
"","","","363","Sourashtra"
"","","","364","Sozhiya Vellalar"
"","","","365","Srisayana"
"","","","366","Sugali (Naika)"
"","","","367","Sunari"
"","","","368","Sundhi"
"","","","369","Surya Balija"
"","","","370","Suthar"
"","","","371","Swakula Sali"
"","","","372","Tamboli"
"","","","373","Tanti"
"","","","374","Tantubai"
"","","","375","Telaga"
"","","","376","Teli"
"","","","377","Thakkar"
"","","","378","Thakore"
"","","","379","Thakur"
"","","","380","Thigala"
"","","","381","Thiyya"
"","","","382","Tili"
"","","","383","Togata"
"","","","384","Tonk Kshatriya"
"","","","385","Turupu Kapu"
"","","","386","Uppara"
"","","","387","Urali Gounder"
"","","","388","Urs"
"","","","389","Vada Balija"
"","","","390","Vaddera"
"","","","391","Vaish"
"","","","392","Vaishnav"
"","","","393","Vaishnava"
"","","","394","Vaishya"
"","","","395","Vaishya Vani"
"","","","396","Valluvan"
"","","","397","Valmiki"
"","","","398","Vania"
"","","","399","Vanika Vyshya"
"","","","400","Vaniya"
"","","","401","Vanjara"
"","","","402","Vanjari"
"","","","403","Vankar"
"","","","404","Vannar"
"","","","405","Vannia Kula Kshatriyar"
"","","","406","Variar"
"","","","407","Varshney"
"","","","408","Veera Saivam"
"","","","409","Velaan"
"","","","410","Velama"
"","","","411","Vellalar"
"","","","412","Veluthedathu Nair"
"","","","413","Vettuva Gounder"
"","","","414","Vilakkithala Nair"
"","","","415","Viswabrahmin"
"","","","416","Viswakarma"
"","","","417","Vokkaliga"
"","","","418","Vysya"
"","","","419","Yadav"
"","","","420","Yellapu"
"","","","421","Others"
"2","Muslim","Sect","0","-- Select --"
"","","","1","Muslim - Ansari"
"","","","2","Muslim - Arain"
"","","","3","Muslim - Awan"
"","","","4","Alavi - Bohra"
"","","","5","Muslim - Dakhini"
"","","","6","Muslim - Dudekula"
"","","","7","Muslim - Hanafi"
"","","","8","Muslim - Jat"
"","","","9","Muslim - Khoja"
"","","","10","Muslim - Labbay"
"","","","11","Muslim - Malik"
"","","","12","Muslim - Mappila"
"","","","13","Muslim - Marakayar"
"","","","14","Muslim - Memon"
"","","","15","Muslim - Mughal"
"","","","16","Muslim - Pathan"
"","","","17","Muslim - Qureshi"
"","","","18","Muslim - Rajput"
"","","","19","Muslim - Rowther"
"","","","20","Muslim - Shafi"
"","","","21","Muslim - Sheikh"
"","","","22","Muslim - Siddiqui"
"","","","23","Muslim - Syed"
"","","","24","Muslim - UnSpecified"
"","","","25","Others"
"3","Muslim - Shia","Sect","0","-- Select --"
"","","","1","Shia Isma'ilis (Seveners)"
"","","","2","Shia Ithna Asharis (Twelvers)"
"","","","3","Shia Zaidis (Fivers)"
"","","","4","Muslim - Ansari"
"","","","5","Muslim - Arain"
"","","","6","Muslim - Awan"
"","","","7","Alavi - Bohra"
"","","","8","Muslim - Dakhini"
"","","","9","Muslim - Dudekula"
"","","","10","Muslim - Hanafi"
"","","","11","Muslim - Jat"
"","","","12","Muslim - Khoja"
"","","","13","Muslim - Labbay"
"","","","14","Muslim - Malik"
"","","","15","Muslim - Mappila"
"","","","16","Muslim - Marakayar"
"","","","17","Muslim - Memon"
"","","","18","Muslim - Mughal"
"","","","19","Muslim - Pathan"
"","","","20","Muslim - Qureshi"
"","","","21","Muslim - Rajput"
"","","","22","Muslim - Rowther"
"","","","23","Muslim - Shafi"
"","","","24","Muslim - Sheikh"
"","","","25","Muslim - Siddiqui"
"","","","26","Muslim - Syed"
"","","","27","Muslim - UnSpecified"
"","","","28","Others"
"4","Muslim - Sunni","Sect","0","-- Select --"
"","","","1","Sunni Hanabali"
"","","","2","Sunni Hanafi"
"","","","3","Sunni Maliki"
"","","","4","Sunni Shafii"
"","","","5","Muslim - Ansari"
"","","","6","Muslim - Arain"
"","","","7","Muslim - Awan"
"","","","8","Alavi - Bohra"
"","","","9","Muslim - Dakhini"
"","","","10","Muslim - Dudekula"
"","","","11","Muslim - Hanafi"
"","","","12","Muslim - Jat"
"","","","13","Muslim - Khoja"
"","","","14","Muslim - Labbay"
"","","","15","Muslim - Malik"
"","","","16","Muslim - Mappila"
"","","","17","Muslim - Marakayar"
"","","","18","Muslim - Memon"
"","","","19","Muslim - Mughal"
"","","","20","Muslim - Pathan"
"","","","21","Muslim - Qureshi"
"","","","22","Muslim - Rajput"
"","","","23","Muslim - Rowther"
"","","","24","Muslim - Shafi"
"","","","25","Muslim - Sheikh"
"","","","26","Muslim - Siddiqui"
"","","","27","Muslim - Syed"
"","","","28","Muslim - UnSpecified"
"","","","29","Others"
"6","Christian","Denomination","0","-- Select --"
"","","","1","Adventist"
"","","","2","Anglican / Episcopal"
"","","","3","Apostolic"
"","","","4","Assyrian"
"","","","5","Assembly of God (AG)"
"","","","6","Baptist"
"","","","7","Calvinist"
"","","","8","Christian - Born Again"
"","","","9","Christian - Bretheren"
"","","","10","Christian - Church of South India"
"","","","11","Christian - Evangelist"
"","","","12","Christian - Jacobite"
"","","","13","Christian - Knanaya"
"","","","14","Christian - Knanaya Catholic"
"","","","15","Christian - Knanaya Jacobite"
"","","","16","Christian - Latin Catholic"
"","","","17","Christian - Malankara"
"","","","18","Christian - Marthoma"
"","","","19","Christian - Pentacost"
"","","","20","Christian - Roman Catholic"
"","","","21","Christian - Syrian Catholic"
"","","","22","Christian - Syrian Jacobite"
"","","","23","Christian - Syrian Orthodox"
"","","","24","Christian - Syro Malabar"
"","","","25","Christian - Unspecified"
"","","","26","Church of God"
"","","","27","Church of Christ"
"","","","28","Church of North India"
"","","","29","Congregational"
"","","","30","East Indian Catholic"
"","","","31","Jehovah's Witnesses"
"","","","32","Latter day saints"
"","","","33","Lutheran"
"","","","34","Melkite"
"","","","35","Malabar Independent Syrian Church"
"","","","36","Mennonite"
"","","","37","Methodist"
"","","","38","Moravian"
"","","","39","Protestant"
"","","","40","Presbyterian"
"","","","41","Seventh-day Adventist"
"","","","42","Reformed Baptist"
"","","","43","Reformed Presbyterian"
"","","","44","Knanaya"
"","","","45","Knanaya Catholic"
"","","","46","Knanaya Jacobite"
"","","","47","St. Thomas Evangelical"
"","","","48","Syrian Jacobite"
"","","","49","Syrian Orthodox"
"","","","50","Others"
"7","Sikh","Caste","0","-- Select --"
"","","","1","Sikh - Ahluwalia"
"","","","2","Sikh - Arora"
"","","","3","Sikh - Bhatia"
"","","","4","Sikh - Ghumar"
"","","","5","Sikh - Intercaste"
"","","","6","Sikh - Jat"
"","","","7","Sikh - Kamboj"
"","","","8","Sikh - Khatri"
"","","","9","Sikh - Kshatriya"
"","","","10","Sikh - Lubana"
"","","","11","Sikh - Majabi"
"","","","12","Sikh - Nai"
"","","","13","Sikh - No Bar"
"","","","14","Sikh - Rajput"
"","","","15","Sikh - Ramdasia"
"","","","16","Sikh - Ramgharia"
"","","","17","Sikh - Saini"
"","","","18","Sikh - Ravidasia"
"","","","19","Sikh - Bhatra"
"","","","20","Sikh - Tonk Kshatriya"
"","","","21","Sikh - Unspecified"
"","","","22","Others"
"8","Jain - All","Caste","0","-- Select --"
"","","","1","Jain - Agarwal"
"","","","2","Jain - Bania"
"","","","3","Jain - Intercaste"
"","","","4","Jain - Jaiswal"
"","","","5","Jain - Khandelwal"
"","","","6","Jain - Kutchi"
"","","","7","Jain - No Bar"
"","","","8","Jain - Oswal"
"","","","9","Jain - Porwal"
"","","","10","Jain - Unspecified"
"","","","11","Jain - Vaishya"
"","","","12","Jain - KVO"
"","","","13","Others"
"9","Jain - Digambar","Caste","0","-- Select --"
"","","","1","Digambar-Bisapanthi"
"","","","2","Digambar-Gumanapanthi"
"","","","3","Digambar-Taranapanthi"
"","","","4","Digambar-Terapanthi"
"","","","5","Digambar-Totapanthi"
"","","","6","Jain - Agarwal"
"","","","7","Jain - Bania"
"","","","8","Jain - Intercaste"
"","","","9","Jain - Jaiswal"
"","","","10","Jain - Khandelwal"
"","","","11","Jain - Kutchi"
"","","","12","Jain - No Bar"
"","","","13","Jain - Oswal"
"","","","14","Jain - Porwal"
"","","","15","Jain - Unspecified"
"","","","16","Jain - Vaishya"
"","","","17","Jain - KVO"
"","","","18","Others"
